program,cohort,unit_name,average_trs,adoption_rate,before_ai_tutor,after_ai_tutor,impact_score,num_students
MGB,MGB_Jan24,Applied Statistics,81.55021048441222,0.9129816910577153,67.55021048441222,81.55021048441222,14.0,60
MGB,MGB_Jan24,Digital Marketing,80.40111330957848,1.0,67.40111330957848,80.40111330957848,13.0,60
MGB,MGB_Jan24,Supply Chain,81.85235062547237,0.8455868295490349,70.85235062547237,81.85235062547237,11.0,60
MGB,MGB_Jan24,Project Management,73.4554464359186,0.8448717088382962,68.4554464359186,73.4554464359186,5.0,60
MGB,MGB_Jun24,Applied Statistics,70.12960131389478,1.0,56.12960131389478,70.12960131389478,14.0,60
MGB,MGB_Jun24,Digital Marketing,93.42304176435583,0.8896210164561862,85.42304176435583,93.42304176435583,8.0,60
MGB,MGB_Jun24,Supply Chain,83.5984695923002,0.883859072703728,72.5984695923002,83.5984695923002,11.0,60
MGB,MGB_Jun24,Project Management,86.78774921074341,0.8880696872205045,78.78774921074341,86.78774921074341,8.0,60
GMBA,GMBA_Feb24,Business Analytics,84.51397251961605,0.8446991285894236,73.51397251961605,84.51397251961605,11.0,60
GMBA,GMBA_Feb24,Corporate Finance,70.94719034218475,0.9154726998756566,64.94719034218475,70.94719034218475,6.0,60
GMBA,GMBA_Feb24,Leadership,83.51344081503926,0.8683147306782827,77.51344081503926,83.51344081503926,6.0,60
GMBA,GMBA_Feb24,Strategy,75.7372927624686,0.9195845284458912,62.7372927624686,75.7372927624686,13.0,60
GMBA,GMBA_Aug24,Business Analytics,79.81238993923024,0.9059426132922643,65.81238993923024,79.81238993923024,14.0,60
GMBA,GMBA_Aug24,Corporate Finance,84.79496730034352,0.8998234117519868,72.79496730034352,84.79496730034352,12.0,60
GMBA,GMBA_Aug24,Leadership,80.15520995171202,0.8913494313066457,68.15520995171202,80.15520995171202,12.0,60
GMBA,GMBA_Aug24,Strategy,78.5073504785228,0.8787146199129026,69.5073504785228,78.5073504785228,9.0,60
